"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","06.01.2023 13:00 - 06.01.2023 14:00 (CET/CEST)","497","1010","862"
"BZN|BE","06.01.2023 14:00 - 06.01.2023 15:00 (CET/CEST)","389","867","805"
"BZN|BE","06.01.2023 15:00 - 06.01.2023 16:00 (CET/CEST)","217","563","788"
"BZN|BE","06.01.2023 16:00 - 06.01.2023 17:00 (CET/CEST)","28","644","817"
"BZN|BE","06.01.2023 17:00 - 06.01.2023 18:00 (CET/CEST)","0","674","1004"
"BZN|BE","06.01.2023 18:00 - 06.01.2023 19:00 (CET/CEST)","0","1102","1246"
"BZN|BE","06.01.2023 19:00 - 06.01.2023 20:00 (CET/CEST)","0","1603","1328"
"BZN|BE","06.01.2023 20:00 - 06.01.2023 21:00 (CET/CEST)","0","1842","1406"
"BZN|BE","06.01.2023 21:00 - 06.01.2023 22:00 (CET/CEST)","0","1997","1489"
"BZN|BE","06.01.2023 22:00 - 06.01.2023 23:00 (CET/CEST)","0","2065","1515"
"BZN|BE","06.01.2023 23:00 - 07.01.2023 00:00 (CET/CEST)","0","2006","1488"
"BZN|BE","07.01.2023 00:00 - 07.01.2023 01:00 (CET/CEST)","0","2033","1432"
"BZN|BE","07.01.2023 01:00 - 07.01.2023 02:00 (CET/CEST)","0","2104","1347"
"BZN|BE","07.01.2023 02:00 - 07.01.2023 03:00 (CET/CEST)","0","2110","1310"
"BZN|BE","07.01.2023 03:00 - 07.01.2023 04:00 (CET/CEST)","0","2124","1324"
"BZN|BE","07.01.2023 04:00 - 07.01.2023 05:00 (CET/CEST)","0","2089","1378"
"BZN|BE","07.01.2023 05:00 - 07.01.2023 06:00 (CET/CEST)","0","2163","1343"
"BZN|BE","07.01.2023 06:00 - 07.01.2023 07:00 (CET/CEST)","0","2158","1361"
"BZN|BE","07.01.2023 07:00 - 07.01.2023 08:00 (CET/CEST)","0","2141","1403"
"BZN|BE","07.01.2023 08:00 - 07.01.2023 09:00 (CET/CEST)","1","2133","1437"
"BZN|BE","07.01.2023 09:00 - 07.01.2023 10:00 (CET/CEST)","142","2122","1586"
"BZN|BE","07.01.2023 10:00 - 07.01.2023 11:00 (CET/CEST)","713","2068","1672"
"BZN|BE","07.01.2023 11:00 - 07.01.2023 12:00 (CET/CEST)","1218","2032","1823"
